고객명,생년월일,주소,구매건수
AAA,2006-08-19,경기도 구리시,1
BBB,2007-05-07,서울특별시 광진구,4
CCC,2003-06-10,서울특별시 노원구,5
DDD,2006-10-11,서울특별시 서대문구,4
EEE,2002-09-14,서울특별시 중랑구,0
FFF,2003-01-30,서울특별시 성동구,7
GGG,2002-09-09,서울특별시 중랑구,1
HHH,2005-10-03,서울특별시 중랑구,6
III,2002-06-03,서울특별시 동대문구,4
JJJ,2006-03-25,경기도 구리시,5
KKK,2005-07-08,서울특별시 성동구,5
LLL,2004-04-03,경기도 남양주시,6
MMM,2004-09-05,서울특별시 동대문구,2
NNN,2002-12-23,서울특별시 중랑구,7
OOO,2004-12-19,서울특별시 동대문구,2
PPP,2007-06-04,서울특별시 광진구,1
QQQ,2002-04-13,경기도 구리시,0
RRR,2003-04-28,서울특별시 동대문구,3
SSS,2006-03-27,경기도 구리시,0
TTT,2002-07-10,서울특별시 중랑구,7
UUU,2003-08-07,서울특별시 광진구,3
VVV,2005-04-05,서울특별시 광진구,4
WWW,2003-07-16,서울특별시 동대문구,5
XXX,2006-02-27,서울특별시 광진구,1
YYY,2004-07-27,서울특별시 중랑구,4
ZZZ,2003-08-17,경기도 남양주시,1
